"var","cor"
"Magnesium&Manganese&StomataConductance_area",0.765375674381834
"Boron&Calcium&LeafDelta15Nitrogen",0.765308126541241
"Calcium&Manganese&LeafWater",0.764508867981683
"Calcium&Manganese&LeafShape",0.764294328535909
"Boron&Sulfur&FineRootTissueDensity",0.764259766036488
"Calcium&LeafNitrogen&LeafletNum",0.764242943155821
"Calcium&Nitrogen&LeafFreshMass",0.764066706683815
"Boron&Magnesium&LeafletNum",0.763621510433214
"Potassium&Sulfur&LeafShape",0.763614907957523
"Calcium&Local_SLA_pet_ex&LeafShape",0.763588300693078
"Boron&LeafNitrogen&StomataConductance_area",0.763483258191457
"Calcium&FineRootDiameter&LeafWater",0.763425339144626
"Calcium&Sulfur&FineRootDiameter",0.763403968880634
"Calcium&Manganese&TRY_SLA_pet_inc",0.762933117126639
"Calcium&Iron&TRY_SLA_pet_ex",0.762883651128441
"Boron&LeafNitrogen&LeafDelta15Nitrogen",0.762677694620959
"Calcium&Manganese&LeafPhoto_mass",0.761845214736137
"Calcium&Sulfur&LeafPhoto_mass",0.761489893195605
"Calcium&Magnesium&LeafDelta15Nitrogen",0.761105906377142
"Copper&Manganese&LeafShape",0.76055185794849
"Calcium&TRY_SLA_pet_ex&StomataConductance_mass",0.76054338739637
"Calcium&Carbon&Local_LeafBladeArea",0.760539408592941
"Boron&Sulfur&Zinc",0.760496678903065
"Calcium&LeafNitrogen&StomataConductance_mass",0.76041763837377
"Boron&Phosphorus&Sulfur",0.760208280513206
"Boron&Calcium&Iron",0.759649008158389
"Calcium&LeafShape&Try_SeedDryMass",0.759603941441713
"Boron&Manganese&LDMC",0.75948585035802
"Calcium&Iron&LeafNitrogen",0.759382164398701
"Calcium&LeafPhoto_area&LeafWater",0.759348215568383
"Boron&Local_LeafBladeArea&LeafShape",0.7588586544648
"Calcium&Nitrogen&LeafShape",0.758759124275285
"Boron&LeafNitrogen&StomataConductance_mass",0.758638871963636
"Calcium&LDMC&LeafPhoto_mass",0.758232798657959
"Calcium&Manganese&StomataConductance_area",0.758100242805236
"Boron&Copper&Local_SeedDryMass",0.75800092758016
"Boron&Magnesium&StomataConductance_mass",0.757878264602565
"Carbon&LeafPhoto_area&LeafWater",0.757285697005458
"Nitrogen&FineRootDiameter&LeafPhoto_mass",0.757036888771215
"Carbon&LeafShape&LeafWater",0.756865290407164
"Calcium&Phosphorus&LeafDryMassSingle",0.756560800658534
"Boron&Copper&TRY_SLA_pet_inc",0.75649425080959
"Boron&Zinc&LeafNitrogen",0.756292886492916
"Calcium&Manganese&LeafNitrogen",0.756111761768948
"Calcium&TRY_SLA_pet_ex&StomataConductance_area",0.755981740663612
"Calcium&Carbon&LeafNitrogen",0.755752820251273
"Boron&Copper&StomataConductance_area",0.754927046382912
"Copper&Manganese&LeafWater",0.754875756021445
